title,singers,directors,lyricist,genre,album,download_link,poster,year
Barood Hai Mujh Mein,['Sunidhi Chauhan'],['Shankar - Ehsaan - Loy'],['Amitabh Bhattacharya'],['Pop'],Dhaakad,https://www.youtube.com/watch?v=M3_Q0WUAAt0,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/73/05/24/73052422-bf77-c7a3-5ad5-fa5e75399ace/8902357124021.png/200x200.jpg,2022
She's On Fire,"['Badshah', ' Nikhita Gandhi']","['Badshah', ' Hiten']",['Badshah'],"['Hip-hop', ' Pop']",Dhaakad,https://www.youtube.com/watch?v=uLcucDjcLm0,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/73/05/24/73052422-bf77-c7a3-5ad5-fa5e75399ace/8902357124021.png/200x200.jpg,2022
Mere Dil Gaaye Ja Zoo Zoo Zooby Zooby Zooby,"['Zahrah S. Khan', ' Yash Narvekar']","['Bappi Lahiri', ' Tanishk Bagchi']","['Anjaan', ' Kumaar']",['Pop'],Dhokha: Round D Corner,https://www.youtube.com/watch?v=d4RGccGVMlg,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/6f/a1/a6/6fa1a63e-675c-b705-4414-9458ad2801ed/8902894361699_cover.jpg/200x200.jpg,2022
Tu Banke Hawa,['Jubin Nautiyal'],['Gourov Dasgupta'],['Devshi Khanduri'],"['Filmi', ' Pop']",Dhokha: Round D Corner,https://www.youtube.com/watch?v=vtJCZVkAMDs,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/6f/a1/a6/6fa1a63e-675c-b705-4414-9458ad2801ed/8902894361699_cover.jpg/200x200.jpg,2022
Mahi Mera Dil Todda,"['Arijit Singh', ' Tulsi Kumar']",['Tanishk Bagchi'],['Kumaar'],['Filmi'],Dhokha: Round D Corner,https://www.youtube.com/watch?v=FHsJ-mUMY9I,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/6f/a1/a6/6fa1a63e-675c-b705-4414-9458ad2801ed/8902894361699_cover.jpg/200x200.jpg,2022
Dil Jisse Zinda Hai,"['Jubin Nautiyal', ' Danish Sabri']","['Nusrat Fateh Ali Khan', ' Mubarak Ali Khan', ' Meet Bros']","['Zafar Ali Khan', ' Youngveer']","['Filmi', ' Arabic', ' Sufi/Qawwali']",Dil Jisse Zinda Hain,https://www.youtube.com/watch?v=rfF6vDzaPjs,https://is3-ssl.mzstatic.com/image/thumb/Music122/v4/f2/9a/53/f29a535e-17d0-1286-9916-cfe037774da7/8903431910004_cover.jpg/200x200.jpg,2022
Ud Dil Ka Kabootar Le Ke Pinjra,"['Mame Khan', ' Nikhita Gandhi', ' Shubham Shirule']","['Shubham Shirule', ' Ana Rehman']",['Shloke Lal'],"['Filmi', ' Pop']",Dil Ka Kabootar,https://www.youtube.com/watch?v=V49K1B0w5n8,https://is4-ssl.mzstatic.com/image/thumb/Music112/v4/78/b3/68/78b368a6-66c8-d4b7-72dc-badf035e31d8/196589233509.jpg/200x200.jpg,2022
Dil Pe Zakhm,['Jubin Nautiyal'],['Rochak Kohli'],['Manoj Muntashir'],['Filmi'],Dil Pe Zakhm,https://www.youtube.com/watch?v=MeNb9SKZNGc,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/9d/55/db/9d55dbaf-128b-2427-7bb8-1443518f3305/source/200x200.jpg,2022
Waqt Ke Jungle Mein Khoya Hai Ek Banjara,['Armaan Malik'],['Gaurav Chatterji'],['Hussain Haidry'],"['Filmi', ' Electronic']",Dobaaraa,https://www.youtube.com/watch?v=gP-D0uBS90Y,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/52/7c/aa/527caa81-e137-52ea-5d88-7d9be98b7348/196925565295.jpg/200x200.jpg,2022
Sab Veham Hai,['Fotty Seven'],['Gaurav Chatterji'],['Hussain Haidry'],['Hip-hop'],Dobaaraa,https://www.youtube.com/watch?v=Bwe9g6hgLQ4,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/52/7c/aa/527caa81-e137-52ea-5d88-7d9be98b7348/196925565295.jpg/200x200.jpg,2022
Dariya Hai (Yeh Waqt Ka Dariya),"['Clinton Cerejo', ' Bianca Gomes']",['Shor Police'],['Hussain Haidry'],['Pop'],Dobaaraa,https://www.youtube.com/watch?v=j1jKlcIuudQ,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/52/7c/aa/527caa81-e137-52ea-5d88-7d9be98b7348/196925565295.jpg/200x200.jpg,2022
Khwabon Ki Woh Pari,['Neeti Mohan'],['Gaurav Chatterji'],['Hussain Haidry'],['Pop'],Dobaaraa,https://www.youtube.com/watch?v=AXrSSSLl9P0,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/52/7c/aa/527caa81-e137-52ea-5d88-7d9be98b7348/196925565295.jpg/200x200.jpg,2022
Khwabon Ki Woh Pari (Reprise),['Gaurav Chatterji'],['Gaurav Chatterji'],['Hussain Haidry'],['Pop'],Dobaaraa,https://www.youtube.com/watch?v=yKl8v8lrX6E,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/52/7c/aa/527caa81-e137-52ea-5d88-7d9be98b7348/196925565295.jpg/200x200.jpg,2022
